state,1970_carbon_emission_pc,1980_carbon_emission_pc,1990_carbon_emission_pc,2000_carbon_emission_pc,2010_carbon_emission_pc,2016_carbon_emission_pc,2017_carbon_emission_pc,2018_carbon_emission_pc,2019_carbon_emission_pc,2020_carbon_emission_pc,1980 Automobile,2000_automobile,2016_automobile,2017_automobile,2018_automobile,2019_automobile,1990 auto,2010_automobile,2020_automobile,1980 Cattle,2000_cattle,2016_cattle,2017_cattle,2018_cattle,2019_cattle,1990_cattle,2010_cattle,2020_cattle,2016_ev,2017_ev,2018_ev,2019_ev,2020_ev,state_code,1980 Population,1990 Population,2000 Population,2010 Population,2020 Population,1980_cattle_pc,1990_cattle_pc,2000_cattle_pc,2010_cattle_pc,2020_cattle_pc,1980_auto_pc,1990_auto_pc,2000_auto_pc,2010_auto_pc,2020_auto_pc,,
Ohio,23,25.4,22.7,23.47,21.4,17.6,17.6,17.9,16.8,15.7,"6,415,046",6709706,"4,693,947 ",4605459,4603594,4423248,4624942,5614698,4247843,1925,1230,1240,1300,1300,1310,1760,1280,1290,98900,107900,118500,133300,148100,39,"10,847,115","10,847,115","11,353,140","11,536,504","11,799,448",0.177466543,0.162255125,0.108340072,0.110952157,0.109327148,0.591405733,0.426375308,0.591000023,0.486689729,0.360003536,,
Oklahoma,29.1,25.4,27.9,29,28.1,24.5,23.8,24.9,22.9,21.1,"1,807,643",1587115,"1,379,222 ",1337624,1296219,1255134,1619454,1581768,1223848,5500,5200,4850,5000,5100,5300,5150,5450,5200,26100,28000,32800,33500,35300,40,"3,145,585","3,145,576","3,450,654","3,751,351","3,959,353",1.748482397,1.637220019,1.506960709,1.452809934,1.313345893,0.574660357,0.514835439,0.459946144,0.421652893,0.309103028,,
Oregon,11.1,10.7,10.8,12.11,10.6,9.2,9.4,9.5,9.9,8.8,"1,538,556",1541253,"1,483,576 ",1542461,1488623,1424799,1315692,1488595,1440848,1510,1450,1320,1320,1270,1310,1390,1260,1280,95300,106900,118500,131200,140700,41,"2,842,321","2,842,337","3,421,399","3,831,074","4,237,256",0.53125597,0.4890342,0.423803245,0.328889497,0.302082291,0.541302689,0.462890924,0.450474499,0.388558143,0.340042707,,
Pennsylvania,22.1,24.8,22.2,22.67,20.1,17,16.8,17.2,17.1,14.9,"5,821,025",6032058,"4,640,471 ",4463267,4424183,4267811,4505001,5682239,4043715,1900,1640,1600,1620,1620,1600,1900,1620,1530,111800,122000,132300,149500,171100,42,"11,881,643","11,882,842","12,281,054","12,702,379","13,002,700",0.159910544,0.159894409,0.133539027,0.127535165,0.117667869,0.489917514,0.379118144,0.491167778,0.447336597,0.31099041,,
Rhode Island,11,8.8,8.8,11.21,10.4,9.1,9.4,10.4,9.8,9,"542,462",538975,"436,247 ",420313,412255,396508,360748,478624,381767,8,6,5,4.6,5,4.7,7,4.7,4.3,11900,13000,14300,15500,17300,44,"1,003,464","1,003,464","1,048,319","1,052,567","1,097,379",0.007972384,0.006975836,0.005723449,0.004465274,0.003918427,0.540589398,0.359502683,0.514132626,0.454720697,0.347889836,,
South Carolina,19.9,17.6,17.4,20.38,18.5,14.6,13.9,14.6,13.5,12.4,"1,533,081",1924398,"1,840,357 ",1808401,1830186,1801243,1766652,2030632,1767348,625,465,340,340,340,350,610,380,340,41300,44700,48000,52100,57100,45,"3,486,703","3,486,310","4,012,012","4,625,364","5,118,425",0.179252434,0.174970097,0.115901946,0.082155696,0.066426684,0.439693602,0.506739791,0.479659084,0.439021015,0.345291374,,
South Dakota,18.1,16.8,16.9,18.82,18.5,17.1,16.8,17.7,18,16.8,"369,549",380281,"364,576 ",353180,358859,342868,358187,406531,325001,4010,3900,3950,3850,4000,4050,3480,3800,3900,5600,6200,6800,7300,8100,46,"696,004","696,004","754,844","814,180","886,667",5.761461141,4.999971265,5.166630456,4.667272593,4.398494587,0.530958155,0.514633537,0.503787538,0.49931342,0.366542343,,
Tennessee,21.8,21.9,21.5,22.57,17.2,15.2,14.5,13.8,13.5,12,"2,564,551",2854569,"2,347,806 ",2325004,2285329,2185229,2418720,2734382,2115632,2300,2100,1830,1830,1830,1800,2300,2040,1810,52700,58400,66000,73600,80800,47,"4,877,185","4,877,203","5,689,283","6,346,105","6,910,840",0.471583506,0.471581765,0.369115054,0.32145702,0.26190738,0.525826066,0.495923586,0.501744947,0.430875632,0.306132395,,
Texas,31.3,36,33.4,32.13,24.4,23.5,23.5,23.9,23.6,21.4,"7,484,817",7616183,"8,287,254 ",8176879,8248322,8313623,8452733,8331127,8088058,13200,13900,11700,12300,12500,13000,13600,13300,13000,225700,244100,266900,301100,334900,48,"16,986,510","16,986,335","20,851,820","25,145,561","29,145,505",0.77708723,0.800643576,0.666608478,0.528920393,0.446037905,0.440633008,0.497619587,0.365252673,0.331316012,0.277506188,,
Utah,26.9,24.4,31.5,29.13,23.1,19.3,19,19.4,19.2,17.5,"678,027",866723,"940,604 ",925052,937421,921645,699331,1316966,902723,840,910,830,820,800,810,830,800,820,36900,42800,49900,57700,66200,49,"1,722,850","1,722,850","2,233,169","2,763,885","3,271,616",0.48756421,0.481759875,0.407492671,0.289447643,0.250640662,0.393549642,0.405915199,0.388113484,0.476490881,0.27592572,,
Vermont,10.3,9,9.7,11.12,9.4,9.5,9.3,9.4,9.6,8.4,"270,287",295640,"229,570 ",221936,218302,206621,279248,293084,193407,340,295,260,260,260,255,300,265,250,13100,14500,15700,17000,18400,50,"562,758","562,758","608,827","625,741","643,077",0.604167333,0.533088823,0.484538301,0.423497901,0.388755934,0.480289929,0.496213292,0.485589502,0.46837909,0.300752476,,
Virginia,16.4,15.3,15.3,17.35,13.9,13.1,12.5,12.9,12.5,11.4,"3,071,878",3873910,"3,242,520 ",3251339,3267735,3187026,2938282,3510417,3057254,1750,1600,1480,1520,1480,1440,1670,1550,1450,134000,148000,159300,175800,189500,51,"6,187,358","6,189,197","7,078,515","8,001,024","8,631,393",0.282834774,0.269824987,0.226036111,0.193725203,0.167991424,0.496476525,0.474743654,0.547277218,0.438745966,0.354201691,,
Washington,12.1,14,14.6,14.27,10.9,10.9,10.7,10.5,11.1,8.9,"2,293,521",2891430,"2,935,656 ",2925765,2964939,2943914,2230958,2599791,2800370,1579,1210,1150,1150,1160,1180,1300,1040,1200,164700,195900,221700,249900,280200,53,"4,866,692","4,866,669","5,894,121","6,724,540","7,705,281",0.324450366,0.26712316,0.205289304,0.154657419,0.155737344,0.471268985,0.458415808,0.490561697,0.386612467,0.363435156,,
West Virginia,65.7,52.5,57.7,64.03,54.2,51.6,49.9,49.4,47.6,43,"928,962",795249,"584,599 ",562984,560118,536646,813499,702587,508663,545,420,390,405,395,390,500,370,395,9600,10200,10800,11900,13200,54,"1,793,477","1,793,477","1,808,344","1,852,994","1,793,716",0.303879002,0.278788075,0.232256695,0.199676847,0.220213233,0.517967055,0.45358764,0.439766438,0.379163127,0.283580567,,
Wisconsin,19.7,17.3,17.5,20.06,17.4,16.6,17,17.4,16.3,14.8,"2,399,134",2526849,"2,159,924 ",2092584,2087518,2004002,2009548,2461343,1901497,4280,3400,3500,3550,3500,3450,4130,3400,3450,66900,73400,79100,86200,94700,55,"4,891,769","4,891,954","5,363,675","5,686,986","5,893,718",0.874939107,0.844243425,0.633893739,0.597856228,0.585369032,0.490443028,0.410786365,0.471104047,0.432802718,0.322631147,,
Wyoming,125,86.6,126,128.49,116.1,104.7,108.3,110.3,101.9,96.4,"277,906",215110,"211,613 ",193523,203546,196219,282290,209777,191332,1340,1580,1310,1330,1320,1300,1380,1320,1320,4000,4200,4500,4600,5300,56,"453,588","453,589","493,782","563,626","576,851",2.954222775,3.042401822,3.199792621,2.341978546,2.288285883,0.612683757,0.622347544,0.435637589,0.372191844,0.331683572,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
